SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,InitializeExperiment.started,InitializeExperiment.stopped,CheckAccuracy1.started,CheckAccuracy1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-7-Per.wav,Speaker4,گوینده۴,8,41,681,66,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.67260250000254,56.67276883300292,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-2-Per.wav,Speaker2,گوینده۲,8,42,682,21,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.68915433300208,56.689332958001614,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-7-Per.wav,Speaker2,گوینده۲,8,43,683,26,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.70496741700117,56.70516545800274,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-8-Per.wav,Speaker3,گوینده۳,8,44,684,47,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.72079683300035,56.72096954200242,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-12-Per.wav,Speaker4,گوینده۴,8,45,685,71,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7366457920034,56.73682991700116,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-3-Per.wav,Speaker2,گوینده۲,8,46,686,22,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.75324716700197,56.75340920800227,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-16-Per.wav,Speaker2,گوینده۲,8,47,687,35,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.76906579200295,56.769242333000875,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-13-Per.wav,Speaker2,گوینده۲,8,48,688,32,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.784929792000185,56.78508991700073,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-20-Per.wav,Speaker1,گوینده ۱,8,49,689,19,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.80070162500124,56.800872667001386,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-4-Per.wav,Speaker4,گوینده۴,8,50,690,63,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.81728708300216,56.81746141700205,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-2-Per.wav,Speaker1,گوینده ۱,8,51,691,1,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.83322966700143,56.83339787500154,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-20-Per.wav,Speaker3,گوینده۳,8,52,692,59,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.848961875002715,56.84912625000288,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-1-Per.wav,Speaker4,گوینده۴,8,53,693,60,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.86477712500346,56.864954667002166,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-5-Per.wav,Speaker1,گوینده ۱,8,54,694,4,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.88138741700095,56.881557250002516,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-11-Per.wav,Speaker3,گوینده۳,8,55,695,50,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8973775830018,56.89757991700026,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-1-Per.wav,Speaker1,گوینده ۱,8,56,696,0,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.91309841700058,56.91330312500213,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
