SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup3.thisRepN,repeated_TrainingLoopGroup3.thisTrialN,repeated_TrainingLoopGroup3.thisN,repeated_TrainingLoopGroup3.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase3Loop.thisRepN,testPhase3Loop.thisTrialN,testPhase3Loop.thisN,testPhase3Loop.thisIndex,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,correct_responses_group3,total_trials_group3,Response3.keys,Response3.rt,Response3.duration,FeedbackRoutine3.started,FeedbackText3.started,FeedbackRoutine3.stopped,FeedbackText3.stopped,CheckAccuracy3.started,accuracy_group3,proceed_to_test,CheckAccuracy3.stopped,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase3.started,test3_image1.started,test3_image2.started,test3_image3.started,test3_image4.started,test3_sound.started,text_10.started,test3_response_keyboard.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-20-En.wav,Speaker3,گوینده۳,0,0,0,15,0,15,15,59,,,,,,,,,,,,82.46442095800012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.43956570799855,82.46442095800012,82.46442095800012,82.46442095800012,82.46442095800012,82.47139441633092,82.46442095800012,82.46442095800012,82.76977974999681,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,0.3042730000015581,None,82.77353808299813,82.78623724999852,84.78078458299933,,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-15-En.wav,Speaker3,گوینده۳,0,0,0,15,0,16,16,54,,,,,,,,,,,,84.80761245800022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.78139737499805,84.80761245800022,84.80761245800022,84.80761245800022,84.80761245800022,84.81392037433082,84.80761245800022,84.80761245800022,84.80817979099811,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,2.1876713749988994,None,84.80848704099844,84.81860208299986,86.81300645800002,,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-4-En.wav,Speaker1,گوینده ۱,0,0,0,15,0,17,17,13,,,,,,,,,,,,86.8380609579981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.81372841600023,86.8380609579981,86.8380609579981,86.8380609579981,86.8380609579981,86.84617016633322,86.8380609579981,86.8380609579981,87.10726495799827,Correct! صحیح است,1,1,1,0.26557708399923285,None,87.11109404099989,87.12209195799733,89.10630391599989,89.13412920799965,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-10-En.wav,Speaker3,گوینده۳,0,0,0,15,0,18,18,49,,,,,,,,,,,,89.13412920799965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.10687604099803,89.13412920799965,89.13412920799965,89.13412920799965,89.13412920799965,89.13876574933286,89.13412920799965,89.13412920799965,89.3628349999999,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,0.2268181250001362,None,89.36665187499966,89.37871387499763,91.37385712499963,,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-20-En.wav,Speaker2,گوینده۲,0,0,0,15,0,19,19,39,,,,,,,,,,,,91.40035404099763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.37442233299953,91.40035404099763,91.40035404099763,91.40035404099763,91.40035404099763,91.40702558333263,91.40035404099763,91.40035404099763,91.7049906659995,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,1,1,0.29864883400296094,None,91.70886229099779,91.72096087499813,93.71270166599788,,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-14-En.wav,Speaker2,گوینده۲,0,0,0,15,0,20,20,33,,,,,,,,,,,,93.73755816599805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.71335562499735,93.73755816599805,93.73755816599805,93.73755816599805,93.73755816599805,93.74587145833041,93.73755816599805,93.73755816599805,93.8200739999993,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,1,1,0.08038350000060746,None,93.82404583300013,93.83672895799828,95.82286954099982,95.84518629099693,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-6-En.wav,Speaker4,گوینده۴,0,0,0,15,0,21,21,65,,,,,,,,,,,,95.84518629099693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.82304020799711,95.84518629099693,95.84518629099693,95.84518629099693,95.84518629099693,95.83930216666364,95.84518629099693,95.84518629099693,95.8457404159999,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,0,1,1,2.051095874998282,None,95.84977429099672,95.85906004099888,97.84528933299953,97.8690586249977,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-9-En.wav,Speaker3,گوینده۳,0,0,0,15,0,22,22,48,,,,,,,,,,,,97.8690586249977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.84545933299887,97.8690586249977,97.8690586249977,97.8690586249977,97.8690586249977,97.87840720833313,97.8690586249977,97.8690586249977,98.01268295799673,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,0.13687099999879138,None,98.01655645799838,98.02905933299917,100.01309808299993,100.03694766599801,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-4-En.wav,Speaker4,گوینده۴,0,0,0,15,0,23,23,63,,,,,,,,,,,,100.03694766599801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.01328512499822,100.03694766599801,100.03694766599801,100.03694766599801,100.03694766599801,100.04619124933063,100.03694766599801,100.03694766599801,100.09876841599907,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,0,1,1,0.05334466699787299,None,100.10295283300002,100.11550158299724,102.09901595799965,102.12687399999777,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-19-En.wav,Speaker2,گوینده۲,0,0,0,15,0,24,24,38,,,,,,,,,,,,102.12687399999777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.09997037499852,102.12687399999777,102.12687399999777,102.12687399999777,102.12687399999777,102.13151270833308,102.12687399999777,102.12687399999777,102.18119079099779,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,1,1,0.05254741700264276,None,102.18517079099911,102.19761024999752,104.19045354099944,,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
